timestamp,delta,ema_spread,ema_mean,atr_spread,pv_ratio,cluster
2024-12-31 15:30:00-05:00,0.5123700775874606,3.335939267931608,-0.5142799198499568,0.0851066661994166,1.0,1
2024-12-31 15:40:00-05:00,0.1764705882353008,3.315686491264994,0.2893632859067781,0.0850669173125052,1.0,1
2024-12-31 15:50:00-05:00,0.5901445854234372,3.4374449446237483,0.8913610473323628,0.0859248839639048,2.0,1
2024-12-31 16:00:00-05:00,-0.7345379756133393,3.4120101721228964,-0.1205494808624567,0.0894400057668764,3.0,1
2024-12-31 16:50:00-05:00,-1.3742690058479703,3.3691072742946777,-1.243224721201482,0.0985496754247102,3.0,1
2024-12-31 17:30:00-05:00,-0.3792298716452816,3.531353626124382,-1.4784742916917104,0.1078880457745554,1.0,1
2024-12-31 17:40:00-05:00,-1.5107495642068656,3.705102050276888,-2.296823340889923,0.1124621639298721,1.0,1
2025-01-02 04:00:00-05:00,-1.0269953051643237,3.1739130379317806,-0.7823711379434443,0.1078546306011257,1.5,1
2025-01-02 04:20:00-05:00,0.6898576251284293,3.5947097859624466,-0.3520748607951358,0.1434486498991703,1.5,1
2025-01-02 04:30:00-05:00,0.2350866882162747,3.594501066435953,-0.0641175004989954,0.141724081079733,1.0,1
2025-01-02 05:10:00-05:00,0.0588581518540409,3.539685731361257,0.1772343047296568,0.1446537404686756,1.0,1
2025-01-02 06:10:00-05:00,1.046734483267003,3.611915908518141,0.7584447227977522,0.1401966644058494,1.0,1
2025-01-02 06:20:00-05:00,1.6403132850598483,3.725650056563431,1.4885346757728974,0.1437955583641694,0.75,1
2025-01-02 06:30:00-05:00,1.9205374314252093,3.9202110988529366,1.7772517846869242,0.1484103112994515,1.0,1
2025-01-02 06:50:00-05:00,1.800472255017708,4.013377391032716,1.911092850203874,0.1569077820853618,1.0,1
2025-01-02 07:10:00-05:00,2.6043208049718927,4.117501618463359,2.784726265443767,0.1583804443670204,1.0,1
2025-01-02 07:30:00-05:00,1.105705440070765,4.177558871493911,2.1108757689297533,0.1566647257345244,1.0,1
2025-01-02 08:00:00-05:00,-0.701754385964918,4.800345320305031,0.2972497680678938,0.1557486317418993,1.3333333333333333,1
2025-01-02 08:10:00-05:00,0.5871990604814907,4.606415220382231,1.0241468167766328,0.1857508554205706,1.3333333333333333,1
2025-01-02 08:50:00-05:00,0.4951937081270076,5.17227874410387,-0.1363810077025989,0.185915094585504,0.75,1
2025-01-02 09:00:00-05:00,0.3229594832648251,4.554316669283527,1.1306774352224955,0.1859854957559299,1.0,1
2025-01-02 09:10:00-05:00,-0.4400117336462472,4.887316939562115,0.655225856740392,0.1860559349963566,1.3333333333333333,1
