return,drawdown,winrate,trades,tp,sl,stdev,cluster,technique
-5.880541319132093,21.76059075918583,47.84172661870504,278,0.5,0.5,0.0,0,Kmeans
-10.693354049861536,21.21110915893973,58.48214285714286,224,0.5,1.0,0.0,0,Kmeans
9.360112464911152,16.78176831233791,67.6923076923077,195,0.5,1.5,0.0,0,Kmeans
6.362174106275353,17.410695468511076,71.42857142857143,175,0.5,2.0,0.0,0,Kmeans
2.7463074450391645,19.899677254454843,73.54838709677419,155,0.5,2.5,0.0,0,Kmeans
9.24615683172001,12.880380778221753,78.08219178082192,146,0.5,3.0,0.0,0,Kmeans
-0.8531955385177259,21.01972138729056,79.41176470588235,136,0.5,3.5,0.0,0,Kmeans
-6.527613792204612,21.111257833839034,80.32786885245902,122,0.5,4.0,0.0,0,Kmeans
-2.7599849909841767,20.700568904465282,82.78688524590164,122,0.5,4.5,0.0,0,Kmeans
-5.880901699550378,20.35360814507513,83.63636363636363,110,0.5,5.0,0.0,0,Kmeans
0.10457213687806721,17.105224965829304,85.71428571428571,105,0.5,5.5,0.0,0,Kmeans
5.495241894404379,16.748385776528508,87.5,104,0.5,6.0,0.0,0,Kmeans
1.1992983829988368,20.324343476014032,87.5,104,0.5,6.5,0.0,0,Kmeans
2.737508875471839,18.394790066703077,88.46153846153845,104,0.5,7.0,0.0,0,Kmeans
-1.2572965051011797,21.065797446733995,88.65979381443299,97,0.5,7.5,0.0,0,Kmeans
3.4328439216604334,19.78986191132302,90.42553191489363,94,0.5,8.0,0.0,0,Kmeans
7.586647742723374,15.988429984293893,91.02564102564102,78,0.5,8.5,0.0,0,Kmeans
-1.523050092673206,20.94349827173419,90.14084507042254,71,0.5,9.0,0.0,0,Kmeans
-6.729372963051339,24.404235898170235,89.70588235294117,68,0.5,9.5,0.0,0,Kmeans
-1.130043338288178,17.61822082316805,37.60683760683761,234,1.0,0.5,0.0,0,Kmeans
-14.393246804748994,26.253538881905218,46.111111111111114,180,1.0,1.0,0.0,0,Kmeans
6.540423503716197,17.594497150969985,56.86274509803921,153,1.0,1.5,0.0,0,Kmeans
8.536553273939095,18.092741432128832,62.142857142857146,140,1.0,2.0,0.0,0,Kmeans
17.915875222647436,17.81444191702009,68.29268292682927,123,1.0,2.5,0.0,0,Kmeans
5.398985629512265,14.15868667200495,69.36936936936937,111,1.0,3.0,0.0,0,Kmeans
7.545836528952399,19.822730408499194,73.7864077669903,103,1.0,3.5,0.0,0,Kmeans
13.793944088946098,18.14638188717918,75.0,92,1.0,4.0,0.0,0,Kmeans
8.942938426805203,20.252195522885348,77.01149425287356,87,1.0,4.5,0.0,0,Kmeans
6.3035572358626,17.620075864631396,77.38095238095238,84,1.0,5.0,0.0,0,Kmeans
14.541461232756546,17.89292375604814,81.25,80,1.0,5.5,0.0,0,Kmeans
15.097768437042646,19.130180845647395,82.27848101265823,79,1.0,6.0,0.0,0,Kmeans
22.111269550011414,15.137589095635642,84.61538461538461,78,1.0,6.5,0.0,0,Kmeans
13.949651738322144,17.246340027797988,84.21052631578947,76,1.0,7.0,0.0,0,Kmeans
3.979598796573547,18.68830459987895,81.94444444444444,72,1.0,7.5,0.0,0,Kmeans
-0.4518585124837826,24.4220857304933,83.07692307692308,65,1.0,8.0,0.0,0,Kmeans
3.5254291422077477,25.002532620828315,84.48275862068965,58,1.0,8.5,0.0,0,Kmeans
13.054445436808958,16.407515968367246,87.93103448275862,58,1.0,9.0,0.0,0,Kmeans
7.677902341879128,20.7248716353196,87.5,56,1.0,9.5,0.0,0,Kmeans
-3.218031112926878,15.090925219245074,33.33333333333333,204,1.5,0.5,0.0,0,Kmeans
-8.443552794078645,18.146997317553563,42.592592592592595,162,1.5,1.0,0.0,0,Kmeans
12.665828061605456,13.199660591496306,53.191489361702125,141,1.5,1.5,0.0,0,Kmeans
3.7581705561200662,15.399843621733513,56.666666666666664,120,1.5,2.0,0.0,0,Kmeans
11.12399969447928,16.39817247742159,63.30275229357798,109,1.5,2.5,0.0,0,Kmeans
17.21443276744219,15.152446569669534,66.3157894736842,95,1.5,3.0,0.0,0,Kmeans
14.40282746420265,14.927723325743885,71.11111111111111,90,1.5,3.5,0.0,0,Kmeans
20.950896177207447,15.005580947853225,72.41379310344827,87,1.5,4.0,0.0,0,Kmeans
13.41944366329615,18.01911461019167,73.41772151898735,79,1.5,4.5,0.0,0,Kmeans
12.05824375764859,16.26901805957418,74.02597402597402,77,1.5,5.0,0.0,0,Kmeans
11.972908477657107,20.368215683476084,76.11940298507463,67,1.5,5.5,0.0,0,Kmeans
26.333958614571774,17.770914563975627,80.3030303030303,66,1.5,6.0,0.0,0,Kmeans
39.26529955658755,12.623628281939991,83.82352941176471,68,1.5,6.5,0.0,0,Kmeans
32.759773859457965,13.786268332357714,83.5820895522388,67,1.5,7.0,0.0,0,Kmeans
21.151177813195932,14.461772321222902,82.08955223880598,67,1.5,7.5,0.0,0,Kmeans
24.04028800049256,15.088344241037053,84.61538461538461,65,1.5,8.0,0.0,0,Kmeans
24.700556589402666,16.184063158191606,86.20689655172413,58,1.5,8.5,0.0,0,Kmeans
27.55707941296146,13.793531607027804,87.27272727272727,55,1.5,9.0,0.0,0,Kmeans
22.00512666834742,16.56142513841204,86.79245283018868,53,1.5,9.5,0.0,0,Kmeans
10.166440211404026,14.906510187167399,30.0,180,2.0,0.5,0.0,0,Kmeans
-7.791225794902335,22.61276835650609,37.41496598639456,147,2.0,1.0,0.0,0,Kmeans
1.7740850358429316,16.855534751472938,45.16129032258064,124,2.0,1.5,0.0,0,Kmeans
-1.0035119450474528,17.050393409476083,49.54128440366973,109,2.0,2.0,0.0,0,Kmeans
18.644238174703688,14.281234951825336,58.94736842105262,95,2.0,2.5,0.0,0,Kmeans
34.9621923090311,13.665483182239704,62.35294117647059,85,2.0,3.0,0.0,0,Kmeans
23.848284542711017,14.952573561421485,66.25,80,2.0,3.5,0.0,0,Kmeans
26.600372297879304,19.030671728681643,66.66666666666666,72,2.0,4.0,0.0,0,Kmeans
14.2222696038109,25.361098667472522,66.15384615384615,65,2.0,4.5,0.0,0,Kmeans
15.774992420929435,20.279763612605528,67.1875,64,2.0,5.0,0.0,0,Kmeans
20.50508703198961,19.780763307813253,71.66666666666667,60,2.0,5.5,0.0,0,Kmeans
