return,drawdown,sl,tp,std_n,sim_threshold
38.33656779999824,2.5958565156792295,1.0,1.0,1.0,0.6
29.125304599998707,2.3604687493242245,1.0,1.0,2.0,0.6
26.573488199999034,0.5702360898144582,1.0,1.0,3.0,0.6
26.841207699999213,0.5700489479305635,1.0,1.0,4.0,0.6
21.228714299999467,0.46211656820228547,1.0,1.0,5.0,0.6
20.299216599999475,0.46205410106680217,1.0,1.0,6.0,0.6
55.322446799998495,2.378998966058342,1.0,2.0,1.0,0.6
31.97859149999893,2.3016178545221044,1.0,2.0,2.0,0.6
29.384006999999112,0.5698704555019888,1.0,2.0,3.0,0.6
29.515258299999232,0.569940993651513,1.0,2.0,4.0,0.6
23.908199599999456,0.46211656820228547,1.0,2.0,5.0,0.6
22.958801999999515,0.46205410106680217,1.0,2.0,6.0,0.6
56.56050689999829,2.1556232053382094,1.0,3.0,1.0,0.6
34.81415979999944,2.227156889708359,1.0,3.0,2.0,0.6
32.4906630999996,1.1726655513403552,1.0,3.0,3.0,0.6
32.250847199999555,0.7864404861075194,1.0,3.0,4.0,0.6
26.52653659999941,0.7868401146072793,1.0,3.0,5.0,0.6
25.77427199999946,0.7867521462896189,1.0,3.0,6.0,0.6
55.85241279999792,2.1555585459575983,1.0,4.0,1.0,0.6
33.58748839999933,2.1101828180464697,1.0,4.0,2.0,0.6
33.65000399999949,1.5784422558966875,1.0,4.0,3.0,0.6
32.949523599999495,1.1938475259150123,1.0,4.0,4.0,0.6
28.03182069999949,1.1940932547383973,1.0,4.0,5.0,0.6
27.196426099999428,1.193989114721574,1.0,4.0,6.0,0.6
60.86550259999818,2.2008231860801404,1.0,5.0,1.0,0.6
34.60206989999931,2.08074912868128,1.0,5.0,2.0,0.6
33.88381829999952,1.5786161214144965,1.0,5.0,3.0,0.6
33.158751999999545,1.1939234765973754,1.0,5.0,4.0,0.6
28.185580599999422,1.1940272284443783,1.0,5.0,5.0,0.6
27.22779839999942,1.1940513034922087,1.0,5.0,6.0,0.6
55.5411094999979,3.7936012193146906,1.0,6.0,1.0,0.6
36.78814159999939,1.9917114338658664,1.0,6.0,2.0,0.6
36.68775069999957,1.707259744701665,1.0,6.0,3.0,0.6
31.985791999999492,1.6575271000395437,1.0,6.0,4.0,0.6
27.630012599999375,1.1940425718390908,1.0,6.0,5.0,0.6
26.67716789999939,1.1940446131705933,1.0,6.0,6.0,0.6
50.89337089999759,3.794842993977364,1.0,7.0,1.0,0.6
33.99315359999927,2.54596144572878,1.0,7.0,2.0,0.6
34.47606149999949,2.5460421274717597,1.0,7.0,3.0,0.6
29.705725999999284,2.5451408449771695,1.0,7.0,4.0,0.6
28.558980199999407,1.7262277569164561,1.0,7.0,5.0,0.6
27.52426799999943,1.7263282661717467,1.0,7.0,6.0,0.6
49.951803499997425,3.7942557900960816,1.0,8.0,1.0,0.6
34.97463959999921,2.54571818241336,1.0,8.0,2.0,0.6
33.56407219999932,2.546033795666511,1.0,8.0,3.0,0.6
28.616754699999237,2.5453571408839237,1.0,8.0,4.0,0.6
28.819230299999383,1.7262462639006568,1.0,8.0,5.0,0.6
27.662333699999376,1.7263317941505236,1.0,8.0,6.0,0.6
47.804184199997394,3.9851390805186724,1.0,9.0,1.0,0.6
36.77673939999929,2.545761667753284,1.0,9.0,2.0,0.6
34.9923548999994,2.5456313288064814,1.0,9.0,3.0,0.6
29.632591999999274,2.54524357913026,1.0,9.0,4.0,0.6
29.684075599999343,1.726114144579984,1.0,9.0,5.0,0.6
28.28832379999946,1.726387124201241,1.0,9.0,6.0,0.6
58.02547059999782,3.8412856924373378,1.0,10.0,1.0,0.6
44.78211169999925,3.704029737397452,1.0,10.0,2.0,0.6
39.54203589999955,3.7042283646954903,1.0,10.0,3.0,0.6
33.40959169999947,3.7037448932843784,1.0,10.0,4.0,0.6
32.492456799999694,3.7042843834217174,1.0,10.0,5.0,0.6
31.064884399999688,3.7043048407563144,1.0,10.0,6.0,0.6
37.562400699998484,2.568505897402687,2.0,1.0,1.0,0.6
28.89349359999875,2.359967279300129,2.0,1.0,2.0,0.6
26.59853659999899,0.8274700563758258,2.0,1.0,3.0,0.6
27.063574199999202,0.528311958864697,2.0,1.0,4.0,0.6
21.437182799999384,0.46207492552708535,2.0,1.0,5.0,0.6
20.321429699999484,0.46205410106680217,2.0,1.0,6.0,0.6
54.05257599999834,2.2451032569471665,2.0,2.0,1.0,0.6
31.23019339999874,2.3015310701789287,2.0,2.0,2.0,0.6
28.955830999999133,0.8273334075949956,2.0,2.0,3.0,0.6
29.2903923999992,0.5484876832217241,2.0,2.0,4.0,0.6
23.443586499999437,0.5483599183172221,2.0,2.0,5.0,0.6
22.30705339999948,0.5485447772427189,2.0,2.0,6.0,0.6
55.30584059999831,2.2256498957719786,2.0,3.0,1.0,0.6
33.54196059999932,2.227822375653106,2.0,3.0,2.0,0.6
31.637361399999442,1.9161931052543841,2.0,3.0,3.0,0.6
31.610437899999553,1.4573601451707618,2.0,3.0,4.0,0.6
25.697271999999472,1.4158101401493897,2.0,3.0,5.0,0.6
24.283983399999475,1.415969682540002,2.0,3.0,6.0,0.6
55.58375489999828,2.2255664854311936,2.0,4.0,1.0,0.6
33.28127389999942,2.109810715322825,2.0,4.0,2.0,0.6
33.86654219999947,2.318716742278325,2.0,4.0,3.0,0.6
33.3709018999995,1.7843092662359041,2.0,4.0,4.0,0.6
27.10364379999941,1.784763862496828,2.0,4.0,5.0,0.6
25.60396749999943,1.7845731147940018,2.0,4.0,6.0,0.6
55.05126589999787,2.2814206635562084,2.0,5.0,1.0,0.6
34.143378499999436,2.0806110558067497,2.0,5.0,2.0,0.6
34.187292599999545,2.318603818285554,2.0,5.0,3.0,0.6
33.808518499999565,1.7841369585435793,2.0,5.0,4.0,0.6
27.25779609999948,1.7845223043715952,2.0,5.0,5.0,0.6
25.63314989999941,1.784475237453309,2.0,5.0,6.0,0.6
48.3188607999977,4.483574523272997,2.0,6.0,1.0,0.6
35.616524299999405,1.9991791412710707,2.0,6.0,2.0,0.6
37.05416209999961,2.516625395387144,2.0,6.0,3.0,0.6
32.68651429999949,2.3944305231391882,2.0,6.0,4.0,0.6
26.329707999999492,1.7845704856361067,2.0,6.0,5.0,0.6
24.716761799999382,1.7847839914543888,2.0,6.0,6.0,0.6
46.97280319999738,4.482865572738145,2.0,7.0,1.0,0.6
35.12114589999936,2.5459167748079636,2.0,7.0,2.0,0.6
37.254015299999445,3.1098572681354075,2.0,7.0,3.0,0.6
32.7530387999996,2.60527721443377,2.0,7.0,4.0,0.6
27.90694569999944,2.3819612803973,2.0,7.0,5.0,0.6
26.198219499999425,2.3822606924587797,2.0,7.0,6.0,0.6
45.105993899997706,4.7921331881855735,2.0,8.0,1.0,0.6
36.41562709999943,2.5459420975369094,2.0,8.0,2.0,0.6
36.71034959999952,3.1098618365632653,2.0,8.0,3.0,0.6
32.0073307999995,2.5803247875236366,2.0,8.0,4.0,0.6
28.203310499999468,2.3821140426659686,2.0,8.0,5.0,0.6
26.37125309999942,2.382109071425275,2.0,8.0,6.0,0.6
42.65781809999724,4.791615711596784,2.0,9.0,1.0,0.6
38.039265699999206,2.545474602656048,2.0,9.0,2.0,0.6
37.97229199999938,3.1096450222768857,2.0,9.0,3.0,0.6
32.85868869999945,2.580027888826464,2.0,9.0,4.0,0.6
28.93093559999936,2.381906964435092,2.0,9.0,5.0,0.6
26.861963299999346,2.382356088016085,2.0,9.0,6.0,0.6
53.26738869999792,4.791705653478879,2.0,10.0,1.0,0.6
46.61496779999952,3.7040252580180373,2.0,10.0,2.0,0.6
43.11220709999953,3.7042432279078503,2.0,10.0,3.0,0.6
37.194246299999534,3.7037562156427817,2.0,10.0,4.0,0.6
31.798526799999614,3.7038479499782775,2.0,10.0,5.0,0.6
29.684423899999484,3.704187698396589,2.0,10.0,6.0,0.6
28.79573179999576,3.350630193907546,3.0,1.0,1.0,0.6
28.749245299998762,2.359967279300129,3.0,1.0,2.0,0.6
26.528847799999,0.9810946880609507,3.0,1.0,3.0,0.6
27.191364199999196,0.5283941787767233,3.0,1.0,4.0,0.6
21.559392799999404,0.46207492552708535,3.0,1.0,5.0,0.6
20.442349699999482,0.46205410106680217,3.0,1.0,6.0,0.6
43.981965899997654,3.2741147073002943,3.0,2.0,1.0,0.6
31.007437399998743,2.3015310701789287,3.0,2.0,2.0,0.6
