symbol,timestamp,open,high,low,close,volume,trade_count,vwap,dollar_volume
PCG,2025-07-01 09:30:00-04:00,13.91,13.99,13.9,13.985,558549.0,502.0,13.937703,7811307.765
PCG,2025-07-01 09:31:00-04:00,13.985,14.035,13.985,14.02,35505.0,106.0,14.015196,497780.1
PCG,2025-07-01 09:32:00-04:00,14.02,14.03,13.9692,13.98,84277.0,427.0,13.992898,1178192.46
PCG,2025-07-01 09:33:00-04:00,13.975,13.975,13.92,13.94,67849.0,504.0,13.940601,945815.0599999999
PCG,2025-07-01 09:34:00-04:00,13.94,13.94,13.91,13.915,17963.0,97.0,13.923635,249955.145
PCG,2025-07-01 09:35:00-04:00,13.92,13.96,13.895,13.96,60566.0,278.0,13.923328,845501.3600000001
PCG,2025-07-01 09:36:00-04:00,13.955,13.96,13.92,13.94,56230.0,142.0,13.940591,783846.2
PCG,2025-07-01 09:37:00-04:00,13.935,13.975,13.935,13.969,45940.0,143.0,13.945249,641735.86
PCG,2025-07-01 09:38:00-04:00,13.97,13.97,13.945,13.945,20838.0,124.0,13.953596,290585.91000000003
PCG,2025-07-01 09:39:00-04:00,13.945,13.965,13.945,13.955,12348.0,69.0,13.955655,172316.34
PCG,2025-07-01 09:40:00-04:00,13.955,13.955,13.95,13.955,3840.0,37.0,13.954238,53587.2
PCG,2025-07-01 09:41:00-04:00,13.95,13.9599,13.94,13.9599,14785.0,110.0,13.945545,206397.12149999998
PCG,2025-07-01 09:42:00-04:00,13.95,13.965,13.94,13.96,7677.0,54.0,13.953091,107170.92000000001
PCG,2025-07-01 09:43:00-04:00,13.9544,13.955,13.945,13.945,8397.0,42.0,13.948697,117096.16500000001
PCG,2025-07-01 09:44:00-04:00,13.94,13.94,13.93,13.935,8956.0,60.0,13.935175,124801.86
PCG,2025-07-01 09:45:00-04:00,13.935,13.975,13.93,13.96,49959.0,264.0,13.95899,697427.64
PCG,2025-07-01 09:46:00-04:00,13.965,13.9654,13.95,13.955,18103.0,88.0,13.960819,252627.365
PCG,2025-07-01 09:47:00-04:00,13.955,13.96,13.95,13.95,8179.0,50.0,13.954982,114097.04999999999
PCG,2025-07-01 09:48:00-04:00,13.955,13.955,13.94,13.945,22820.0,148.0,13.942745,318224.9
PCG,2025-07-01 09:49:00-04:00,13.945,13.945,13.925,13.94,13435.0,83.0,13.934563,187283.9
PCG,2025-07-01 09:50:00-04:00,13.935,13.945,13.925,13.935,20050.0,121.0,13.936101,279396.75
PCG,2025-07-01 09:51:00-04:00,13.94,13.945,13.93,13.94,26647.0,116.0,13.935861,371459.18
PCG,2025-07-01 09:52:00-04:00,13.935,13.94,13.92,13.92,22874.0,138.0,13.929763,318406.08
PCG,2025-07-01 09:53:00-04:00,13.92,13.925,13.91,13.915,23231.0,105.0,13.917141,323259.365
PCG,2025-07-01 09:54:00-04:00,13.92,13.935,13.92,13.925,16966.0,114.0,13.928459,236251.55000000002
PCG,2025-07-01 09:55:00-04:00,13.925,13.94,13.92,13.93,58641.0,147.0,13.932016,816869.13
PCG,2025-07-01 09:56:00-04:00,13.935,13.94,13.9209,13.925,74920.0,292.0,13.935333,1043261.0
PCG,2025-07-01 09:57:00-04:00,13.9252,13.94,13.9,13.9,69207.0,184.0,13.926571,961977.3
PCG,2025-07-01 09:58:00-04:00,13.89,13.91,13.89,13.91,39337.0,127.0,13.898914,547177.67
PCG,2025-07-01 09:59:00-04:00,13.91,13.91,13.89,13.89,50290.0,114.0,13.90043,698528.1
PCG,2025-07-01 10:00:00-04:00,13.89,13.9,13.8843,13.8906,14404.0,106.0,13.893154,200080.20239999998
PCG,2025-07-01 10:01:00-04:00,13.895,13.9,13.88,13.8893,47891.0,238.0,13.88709,665172.4663
PCG,2025-07-01 10:02:00-04:00,13.88,13.885,13.875,13.88,11849.0,110.0,13.878169,164464.12
PCG,2025-07-01 10:03:00-04:00,13.875,13.885,13.87,13.885,16378.0,118.0,13.881168,227408.53
PCG,2025-07-01 10:04:00-04:00,13.885,13.895,13.885,13.895,25262.0,145.0,13.889077,351015.49
PCG,2025-07-01 10:05:00-04:00,13.895,13.9,13.88,13.895,62531.0,130.0,13.893213,868868.245
PCG,2025-07-01 10:06:00-04:00,13.895,13.895,13.865,13.875,62769.0,235.0,13.887562,870919.875
PCG,2025-07-01 10:07:00-04:00,13.87,13.885,13.87,13.885,57510.0,171.0,13.882503,798526.35
PCG,2025-07-01 10:08:00-04:00,13.885,13.8993,13.855,13.855,59643.0,259.0,13.87983,826353.765
PCG,2025-07-01 10:09:00-04:00,13.855,13.86,13.85,13.855,22356.0,137.0,13.857828,309742.38
PCG,2025-07-01 10:10:00-04:00,13.8593,13.8593,13.825,13.825,69377.0,261.0,13.843167,959137.0249999999
PCG,2025-07-01 10:11:00-04:00,13.825,13.8494,13.825,13.8494,49056.0,195.0,13.836996,679396.1664
PCG,2025-07-01 10:12:00-04:00,13.845,13.8499,13.83,13.835,37911.0,105.0,13.839371,524498.685
PCG,2025-07-01 10:13:00-04:00,13.84,13.845,13.835,13.835,19667.0,126.0,13.83907,272092.945
PCG,2025-07-01 10:14:00-04:00,13.84,13.85,13.84,13.845,77768.0,133.0,13.848281,1076697.96
PCG,2025-07-01 10:15:00-04:00,13.845,13.845,13.815,13.83,79280.0,306.0,13.828367,1096442.4
PCG,2025-07-01 10:16:00-04:00,13.8394,13.84,13.825,13.825,27569.0,142.0,13.833105,381141.425
PCG,2025-07-01 10:17:00-04:00,13.825,13.84,13.825,13.835,39171.0,114.0,13.83401,541930.785
